Data,Cliente,Produto,Quantidade,Valor,Desconto,Forma de Pagamento,Nº Vezes,Data Vencimento,Status,Vendedor
2025-04-02,Aurora Rezende,SSD 1TB,4,2769.48,0%,Boleto,12,2026-01-27,NÃO PAGO,Emanuel
2025-08-30,Luiz Otávio Dias,Switch de Rede,4,1795.88,0%,Boleto,1,2025-08-30,NÃO PAGO,Diego
2025-04-22,Stella Viana,Computador Desktop,4,8488.99,20%,Dinheiro,1,2025-04-22,PAGO,Camila
2025-09-10,Maria Júlia Alves,Mesa para Computador,5,2221.9,0%,Pix,1,2025-09-10,PAGO,Ana
2025-07-01,José Miguel Costela,Mouse,5,216.25,0%,Dinheiro,1,2025-07-01,PAGO,Anna Liz
2025-01-04,Luara Moreira,SSD 512GB,5,1977.52,20%,Boleto,10,2025-10-31,NÃO PAGO,Ravi
2025-10-02,Giovanna Ribeiro,Processador Intel i5,2,2879.48,0%,Cartão,8,2026-01-30,NÃO PAGO,Ana
2025-05-27,Davi Lucca Duarte,Pendrive 64GB,3,169.87,20%,Cartão,2,2025-07-26,PENDENTE,Larissa
2025-01-31,Stella Rodrigues,Pendrive 64GB,2,81.36,20%,Pix,1,2025-01-31,PAGO,Leandro
2025-08-15,Pietro Leão,Processador Intel i5,5,5035.4,0%,Pix,1,2025-08-15,PAGO,Antonella
2025-02-24,Bento Leão,Fonte 700W,1,407.81,20%,Dinheiro,1,2025-02-24,PAGO,Bryan
2025-09-11,Rebeca Melo,"Monitor 24""",3,3039.54,0%,Boleto,1,2025-09-11,PAGO,Bernardo
2025-03-29,Benjamim Fonseca,Placa de Vídeo GTX,2,2490.3,15%,Dinheiro,1,2025-03-29,PAGO,Emanuelly
2025-02-20,João Lucas Mendonça,Placa de Vídeo GTX,3,3608.28,20%,Pix,1,2025-02-20,PAGO,Davi Lucca
2025-10-04,Maria Laura Cavalcanti,Memória RAM 16GB,3,1049.04,0%,Boleto,1,2025-10-04,PAGO,Arthur Miguel
2025-02-10,André Pastor,Webcam,2,427.11,15%,Pix,1,2025-02-10,PAGO,Henry Gabriel
2025-11-15,Gabriela Rocha,Placa de Vídeo GTX,4,7485.73,10%,Cartão,10,2026-01-14,PAGO,Rafael
2025-11-03,Yuri Câmara,Cabo de Rede,3,80.65,5%,Pix,1,2025-11-03,PAGO,Rafael
2025-02-17,Alice Moreira,HD Externo 1TB,1,250.82,0%,Pix,1,2025-02-17,PAGO,Enrico
2025-04-08,Clara Nascimento,Pendrive 64GB,3,129.57,0%,Boleto,6,2025-10-05,NÃO PAGO,Carolina
2025-12-22,Bernardo Mendonça,SSD 256GB,1,231.32,5%,Boleto,9,2026-01-21,PENDENTE,Letícia
2025-10-07,Diogo da Cunha,Teclado,3,605.86,20%,Cartão,12,2026-02-04,PAGO,Caio
2025-01-19,Liam Monteiro,Notebook,5,16844.65,0%,Cartão,10,2025-11-15,PENDENTE,Liam
2025-03-06,Ana Luiza Mendes,Memória RAM 16GB,1,378.57,5%,Cartão,5,2025-08-03,PENDENTE,Fernando
2025-05-31,Ana Beatriz Barbosa,Memória RAM 16GB,5,2135.75,0%,Cartão,1,2025-05-31,PAGO,Ryan
2025-03-13,Manuela Barbosa,Cadeira Gamer,2,1313.24,10%,Boleto,9,2025-12-08,PENDENTE,Gabrielly
2025-02-08,Henry da Luz,Cabo HDMI,1,58.36,0%,Dinheiro,1,2025-02-08,PAGO,Antônio
2026-01-06,Maria Luiza Guerra,Processador Intel i5,2,1839.11,15%,Pix,1,2026-01-06,PAGO,Lívia
2025-06-22,Davi Cavalcanti,Impressora,1,597.55,15%,Dinheiro,1,2025-06-22,PAGO,Fernanda
2025-01-17,Marcelo da Costa,Memória RAM 8GB,4,987.2,0%,Boleto,5,2025-06-16,PENDENTE,Rhavi
2025-12-01,José Miguel Correia,"Monitor 24""",3,2469.73,15%,Boleto,9,2026-01-30,PENDENTE,João
2025-12-28,Laís Rodrigues,Gabinete,5,2328.6,20%,Pix,1,2025-12-28,PAGO,Laís
2025-02-24,Maria Eduarda Farias,Fonte 500W,4,1494.44,0%,Dinheiro,1,2025-02-24,PAGO,Isabella
2025-12-01,Dante Moraes,SSD 512GB,5,2263.64,20%,Cartão,6,2026-01-30,PAGO,Ayla
2025-05-15,Leandro da Rosa,Fonte 500W,4,930.66,5%,Dinheiro,1,2025-05-15,PAGO,Gabriel
2025-10-06,Thiago Abreu,Fonte 500W,4,799.06,5%,Cartão,5,2026-02-03,NÃO PAGO,Maria Cecília
2025-09-15,Ana Vitória Cunha,Gabinete,3,776.87,10%,Dinheiro,1,2025-09-15,PAGO,Ester
2025-01-09,Vitor Gabriel Novais,Memória RAM 8GB,3,551.97,0%,Pix,1,2025-01-09,PAGO,Isaac
2025-07-02,Miguel Campos,Headset,3,853.56,0%,Dinheiro,1,2025-07-02,PAGO,Marcos Vinicius
2025-04-21,Arthur Gabriel Câmara,"Monitor 27""",4,4068.81,15%,Cartão,1,2025-04-21,PAGO,Luan
2025-02-03,Maria Luísa Sá,Mouse,3,263.92,10%,Boleto,1,2025-02-03,NÃO PAGO,Maria Eduarda
2025-11-07,Eloá Barbosa,SSD 512GB,3,1348.25,5%,Dinheiro,1,2025-11-07,PAGO,Yasmin
2025-01-06,Eloah Moraes,Mesa para Computador,3,2771.7,15%,Dinheiro,1,2025-01-06,PAGO,Maria
2025-07-11,Ana Luiza Sales,Headset,5,1469.44,15%,Dinheiro,1,2025-07-11,PAGO,Bianca
2025-11-27,João Vitor Ramos,Pendrive 64GB,1,54.68,10%,Pix,1,2025-11-27,PAGO,Ravi
2025-04-15,Pietro Machado,Cabo HDMI,2,89.14,0%,Boleto,6,2025-10-12,NÃO PAGO,Beatriz
2025-02-25,Lara Novaes,Gabinete,4,732.42,20%,Cartão,10,2025-12-22,PENDENTE,José Miguel
2025-10-05,Ana Carolina Lima,Cooler para CPU,4,215.73,5%,Dinheiro,1,2025-10-05,PAGO,Rebeca
2025-06-08,Davi Miguel Porto,HD Externo 1TB,2,618.94,0%,Dinheiro,1,2025-06-08,PAGO,Agatha
2025-06-11,Esther Barros,Gabinete,3,1336.23,0%,Pix,1,2025-06-11,PAGO,Luísa
2025-12-25,Benjamin Vieira,Gabinete,1,366.97,0%,Cartão,11,2026-01-24,PENDENTE,Mathias
2025-03-10,Sabrina Rocha,Processador AMD Ryzen 7,5,9793.7,0%,Pix,1,2025-03-10,PAGO,Ana Carolina
2025-07-20,Henry Gabriel Caldeira,Placa de Vídeo GTX,1,1787.05,20%,Cartão,8,2026-01-16,PAGO,Théo
2025-06-21,Aurora Castro,"Monitor 24""",4,2736.72,5%,Cartão,9,2026-01-17,NÃO PAGO,Maria
2025-09-16,Igor Brito,Cadeira Gamer,2,2959.84,15%,Cartão,1,2025-09-16,PAGO,Olívia
2025-11-13,Ravi Camargo,SSD 256GB,5,1380.7,0%,Dinheiro,1,2025-11-13,PAGO,Vitor Gabriel
2025-07-22,Olivia Pereira,Computador Desktop,2,9423.34,5%,Pix,1,2025-07-22,PAGO,Asafe
2025-08-06,Isabelly da Mata,Impressora,3,1383.87,0%,Cartão,12,2026-02-02,PENDENTE,Maria Clara
2025-01-09,Maria Sophia Dias,Headset,5,904.28,20%,Cartão,6,2025-07-08,PENDENTE,Bianca
2025-08-09,Guilherme Rodrigues,Cabo de Rede,5,173.95,0%,Boleto,3,2025-11-07,PAGO,Benicio
2025-04-12,Alexia Gonçalves,Memória RAM 16GB,1,275.96,15%,Cartão,1,2025-04-12,NÃO PAGO,Maria Fernanda
2025-07-03,Giovanna da Rosa,Processador Intel i7,1,2025.9,15%,Pix,1,2025-07-03,PAGO,José Miguel
2025-02-01,Lucas Ribeiro,Pendrive 32GB,2,55.08,15%,Boleto,11,2025-12-28,PENDENTE,Marina
2025-11-13,Lavínia Vargas,Roteador Wi-Fi,1,365.39,5%,Pix,1,2025-11-13,PAGO,Ana Carolina
2025-05-24,Diego Almeida,"Monitor 27""",2,2537.79,5%,Cartão,10,2026-01-19,PENDENTE,Lucca
2025-12-13,Marcelo Cassiano,Pendrive 32GB,4,177.31,20%,Boleto,3,2026-01-12,PAGO,Diogo
2025-05-15,Sarah da Cunha,SSD 512GB,3,1421.06,10%,Boleto,6,2025-11-11,PAGO,Ana Vitória
2025-09-17,Otto Rezende,Gabinete,5,2773.7,0%,Pix,1,2025-09-17,PAGO,Nicole
2025-11-02,Lívia Sá,Placa de Vídeo RTX,2,5251.07,10%,Pix,1,2025-11-02,PAGO,Lorena
2025-07-03,Lucca Pinto,Mesa para Computador,2,1422.75,20%,Boleto,8,2026-01-29,PAGO,Mathias
2025-11-20,Rael das Neves,"Monitor 27""",5,6791.76,20%,Cartão,11,2026-01-19,NÃO PAGO,Maria Flor
2025-06-02,Amanda Vargas,Roteador Wi-Fi,3,1131.15,0%,Cartão,12,2026-01-28,PAGO,Ravi
2025-09-19,Davi Duarte,SSD 1TB,1,787.1,0%,Pix,1,2025-09-19,PAGO,Agatha
2025-01-27,Luna Porto,Cabo de Rede,3,139.53,0%,Cartão,10,2025-11-23,PAGO,Rafael
2025-01-03,Breno Marques,Switch de Rede,4,1190.24,0%,Pix,1,2025-01-03,PAGO,Ana
2025-04-29,Lucas Abreu,HD Externo 1TB,2,540.26,20%,Pix,1,2025-04-29,PAGO,Levi
2025-08-28,Léo Araújo,Impressora,2,2771.7,5%,Dinheiro,1,2025-08-28,PAGO,Ana Júlia
2025-03-11,Emanuel Caldeira,Fonte 500W,3,777.93,15%,Pix,1,2025-03-11,PAGO,Murilo
2025-02-18,Mariah Cunha,Placa de Vídeo GTX,4,6979.55,20%,Boleto,3,2025-05-19,PENDENTE,Carlos Eduardo
2025-02-24,Mathias Aragão,Placa-Mãe,1,1005.65,15%,Pix,1,2025-02-24,PAGO,Mirella
2025-12-13,Nicolas Azevedo,Placa de Vídeo GTX,1,2098.4,10%,Pix,1,2025-12-13,PAGO,Théo
2025-08-21,Rebeca Nascimento,Processador Intel i5,1,826.24,5%,Cartão,9,2026-01-18,PAGO,Sophie
2025-12-14,Davi Lucca Almeida,Placa-Mãe,5,3393.75,0%,Boleto,9,2026-01-13,PENDENTE,Giovanna
2025-10-15,Hadassa Araújo,Switch de Rede,2,700.72,0%,Cartão,3,2026-01-13,PAGO,Manuela
2025-03-06,João da Rocha,Processador Intel i7,5,9636.9,0%,Boleto,6,2025-09-02,NÃO PAGO,João Gabriel
2025-11-16,Matteo Gonçalves,Processador Intel i7,3,4833.18,0%,Cartão,12,2026-01-15,NÃO PAGO,Gustavo Henrique
2025-10-04,Elisa Costela,Processador AMD Ryzen 7,2,4018.63,5%,Pix,1,2025-10-04,PAGO,Luigi
2025-10-15,Aurora Vieira,Teclado,3,176.07,5%,Dinheiro,1,2025-10-15,PAGO,Ana Vitória
2025-01-30,Beatriz da Costa,Memória RAM 16GB,5,1980.18,10%,Dinheiro,1,2025-01-30,PAGO,Ryan
2025-12-02,João Vitor Machado,Webcam,2,490.61,20%,Boleto,8,2026-01-31,NÃO PAGO,Heloísa
2025-06-27,Murilo Garcia,SSD 256GB,1,265.55,10%,Pix,1,2025-06-27,PAGO,João Miguel
2025-07-21,Carlos Eduardo Nunes,Mouse,2,208.24,5%,Boleto,8,2026-01-17,PAGO,Valentina
2025-06-21,José Miguel Guerra,Webcam,4,616.96,20%,Cartão,8,2026-01-17,NÃO PAGO,Arthur Gabriel
2025-06-14,Ana Laura Silva,Placa de Vídeo RTX,4,11456.61,15%,Boleto,4,2025-10-12,PAGO,Luiza
2025-12-11,Aurora Rodrigues,Pendrive 64GB,2,151.01,15%,Pix,1,2025-12-11,PAGO,Ana Cecília
2025-11-29,Luiz Miguel Moraes,Roteador Wi-Fi,3,414.66,0%,Dinheiro,1,2025-11-29,PAGO,Matteo
2025-07-08,Luísa Mendonça,Impressora,3,1323.08,5%,Pix,1,2025-07-08,PAGO,Kevin
2025-09-10,Gabriel Guerra,Gabinete,2,873.52,10%,Cartão,2,2025-11-09,NÃO PAGO,Ana Cecília
2025-08-03,Luísa Gonçalves,Placa de Vídeo RTX,2,6082.26,20%,Cartão,9,2026-01-30,PAGO,Gael Henrique
2025-05-20,Cauê Fernandes,Placa de Vídeo RTX,5,19142.02,5%,Cartão,6,2025-11-16,NÃO PAGO,Helena
2025-01-18,Maitê Santos,"Monitor 24""",1,906.52,10%,Cartão,9,2025-10-15,PENDENTE,Antonella
2025-10-08,Luiz Gustavo Albuquerque,HD Externo 1TB,1,308.07,15%,Pix,1,2025-10-08,PAGO,Lavínia
2025-11-23,Luiza Viana,Computador Desktop,5,17494.25,0%,Pix,1,2025-11-23,PAGO,Pedro
2025-03-20,João Pedro Costa,Pendrive 64GB,4,270.2,0%,Cartão,5,2025-08-17,PENDENTE,Liam
2025-03-21,Henry Gabriel Pimenta,Fonte 700W,1,321.98,10%,Pix,1,2025-03-21,PAGO,Heloísa
2025-05-31,Vicente Fonseca,Mouse,2,223.28,0%,Cartão,8,2026-01-26,PENDENTE,Bárbara
2025-11-12,Josué da Paz,Fonte 500W,4,1193.96,0%,Dinheiro,1,2025-11-12,PAGO,Bruna
2025-07-07,Kaique Rezende,Headset,5,1035.55,0%,Dinheiro,1,2025-07-07,PAGO,João Felipe
2025-06-26,Yuri da Paz,Switch de Rede,5,1704.33,10%,Boleto,6,2025-12-23,PENDENTE,Enrico
2025-09-01,Vitória Borges,SSD 256GB,2,515.79,5%,Pix,1,2025-09-01,PAGO,Maysa
2025-02-12,Lucas Gabriel Pires,Cabo HDMI,3,121.31,10%,Dinheiro,1,2025-02-12,PAGO,Davi Lucas
2025-01-04,Davi Fogaça,Placa-Mãe,2,1013.62,0%,Cartão,3,2025-04-04,NÃO PAGO,Lucca
2025-08-29,Ágatha Cavalcanti,Memória RAM 8GB,3,559.21,15%,Pix,1,2025-08-29,PAGO,Ana
2025-08-15,Valentim da Luz,Mesa para Computador,3,966.57,0%,Boleto,4,2025-12-13,PENDENTE,Cecília
2025-03-11,Alexandre da Mata,Processador AMD Ryzen 7,5,10627.4,0%,Cartão,3,2025-06-09,PENDENTE,Stephany
2025-01-08,Vitor Gabriel Gonçalves,Webcam,1,159.22,15%,Boleto,7,2025-08-06,PAGO,Nathan
2025-04-21,Rael Nascimento,Placa de Vídeo GTX,4,8299.43,15%,Boleto,10,2026-01-16,PAGO,Evelyn
2025-04-02,Stella Lopes,SSD 1TB,2,1423.15,10%,Cartão,7,2025-10-29,PAGO,Luara
2025-12-30,Vitor Gabriel Cirino,SSD 256GB,2,578.16,0%,Cartão,9,2026-01-29,PENDENTE,Henry Gabriel
2025-09-09,Yuri Dias,Notebook,1,2099.23,5%,Pix,1,2025-09-09,PAGO,Allana
2025-01-06,Lara Cardoso,Cabo de Rede,2,70.6,0%,Dinheiro,1,2025-01-06,PAGO,Zoe
2025-07-17,Vicente Abreu,Processador Intel i7,1,2071.96,5%,Boleto,8,2026-01-13,NÃO PAGO,Oliver
2025-09-19,Ravy Alves,"Monitor 24""",3,2751.72,0%,Boleto,6,2026-01-17,PAGO,Thomas
2025-08-09,Theo Alves,Mouse,4,576.84,0%,Dinheiro,1,2025-08-09,PAGO,Isaac
2025-02-15,Maria Fernanda Mendonça,Processador AMD Ryzen 7,2,2774.68,0%,Boleto,10,2025-12-12,PAGO,Bella
2025-04-10,Ian Machado,"Monitor 24""",1,1002.41,15%,Pix,1,2025-04-10,PAGO,Ana Carolina
2025-08-20,Otávio Teixeira,Webcam,1,471.51,5%,Boleto,12,2026-01-17,NÃO PAGO,Emanuel
2025-09-02,Raul Gonçalves,Cabo de Rede,2,77.42,20%,Boleto,4,2025-12-31,NÃO PAGO,Maria Fernanda
2025-04-03,Isabel Souza,Teclado,2,495.94,15%,Boleto,11,2026-01-28,NÃO PAGO,Daniel
2025-07-22,Renan Moreira,Switch de Rede,3,1145.76,0%,Dinheiro,1,2025-07-22,PAGO,Théo
2025-11-16,Bianca Vieira,Placa-Mãe,2,1978.0,10%,Pix,1,2025-11-16,PAGO,Ravi Lucca
2025-03-17,Fernanda Costa,Processador AMD Ryzen 5,2,2452.34,0%,Cartão,1,2025-03-17,PENDENTE,Mariana
2025-08-30,Antonella Pastor,Placa de Vídeo GTX,3,6479.88,0%,Pix,1,2025-08-30,PAGO,Emilly
2025-09-01,Carolina Fonseca,Notebook,2,6296.34,0%,Cartão,2,2025-10-31,NÃO PAGO,Allana
2025-02-07,Dante Rios,SSD 1TB,4,2412.52,0%,Boleto,1,2025-02-07,PENDENTE,Leandro
2025-08-09,Isis Pastor,Cabo de Rede,1,38.11,0%,Pix,1,2025-08-09,PAGO,Rodrigo
2025-11-11,Henrique Almeida,"Monitor 27""",4,3226.67,15%,Pix,1,2025-11-11,PAGO,Elisa
2025-12-09,Stella das Neves,SSD 256GB,5,1024.75,0%,Pix,1,2025-12-09,PAGO,Dom
2025-04-07,Heitor Nogueira,Processador Intel i7,4,6979.25,10%,Pix,1,2025-04-07,PAGO,João Guilherme
2025-06-10,Emanuelly Garcia,Placa-Mãe,4,3577.82,15%,Cartão,4,2025-10-08,PAGO,Clara
2025-03-22,Léo Rezende,Computador Desktop,4,15588.76,0%,Boleto,6,2025-09-18,PAGO,Helena
2025-06-17,Gabriela Ribeiro,Processador Intel i7,1,2202.52,0%,Cartão,7,2026-01-13,PENDENTE,Sofia
2025-01-27,João Lucas Pereira,Placa-Mãe,2,1087.04,20%,Cartão,2,2025-03-28,PAGO,Lucas
2026-01-05,Gabriela Cunha,Processador AMD Ryzen 7,5,10266.0,0%,Boleto,10,2026-02-04,PAGO,Caroline
2025-04-30,Lucas Gabriel Barbosa,HD Externo 1TB,4,1611.44,0%,Boleto,10,2026-01-25,PAGO,Raul
2025-04-09,André Andrade,Teclado,5,843.08,20%,Dinheiro,1,2025-04-09,PAGO,Ana Clara
2025-02-26,Ana Lívia Novaes,"Monitor 27""",4,7459.84,0%,Dinheiro,1,2025-02-26,PAGO,Theo
2025-07-07,Caroline Rezende,Impressora,4,2567.28,0%,Dinheiro,1,2025-07-07,PAGO,Valentim
2025-02-22,Ágatha Cunha,Fonte 700W,4,1495.56,15%,Boleto,2,2025-04-23,NÃO PAGO,Noah
2025-01-17,Matteo Fogaça,Cabo HDMI,5,110.07,10%,Boleto,12,2026-01-12,PAGO,Davi Lucca
2025-08-13,Alexandre Rezende,Cooler para CPU,3,148.5,10%,Boleto,9,2026-01-10,PENDENTE,Ana Laura
2025-04-11,Manuella Lima,Processador AMD Ryzen 5,4,4119.52,20%,Pix,1,2025-04-11,PAGO,Luara
2025-02-18,Daniela Montenegro,Fonte 500W,5,1378.02,5%,Cartão,2,2025-04-19,PENDENTE,Pedro Henrique
2025-02-09,Eloá da Paz,Notebook,1,4574.44,0%,Cartão,9,2025-11-06,NÃO PAGO,Maria Laura
2025-04-01,José Pedro Novais,Memória RAM 8GB,4,1015.48,15%,Cartão,4,2025-07-30,NÃO PAGO,Ravi Lucca
2025-05-05,Ravi Lucca Carvalho,SSD 1TB,5,3484.0,0%,Pix,1,2025-05-05,PAGO,Erick
2025-06-18,Ian Almeida,Placa de Vídeo RTX,2,8976.64,0%,Dinheiro,1,2025-06-18,PAGO,Maysa
2025-12-17,Eduardo Leão,Mouse,4,368.64,10%,Pix,1,2025-12-17,PAGO,José
2025-09-18,Olivia Guerra,Roteador Wi-Fi,5,633.56,10%,Boleto,11,2026-01-16,PAGO,Pietro
2025-04-09,Laís Azevedo,Pendrive 32GB,5,247.1,15%,Pix,1,2025-04-09,PAGO,Mirella
2025-03-08,Maria Julia Vargas,Fonte 500W,2,391.52,10%,Cartão,3,2025-06-06,PAGO,Noah
2025-11-24,Ayla Monteiro,Processador AMD Ryzen 5,3,3139.38,0%,Pix,1,2025-11-24,PAGO,Marcelo
2025-10-27,Oliver Vieira,Teclado,3,331.55,15%,Cartão,4,2026-01-25,PAGO,Pedro Henrique
2025-05-12,Dom Teixeira,Cadeira Gamer,3,2213.94,15%,Pix,1,2025-05-12,PAGO,Ana Júlia
2025-09-05,Davi Lucca Araújo,Pendrive 64GB,4,279.68,20%,Dinheiro,1,2025-09-05,PAGO,Isaac
2025-08-21,Liz Ribeiro,Impressora,3,2330.73,0%,Boleto,3,2025-11-19,PAGO,Eloá
2025-04-08,Felipe Pereira,Mouse,2,141.5,0%,Dinheiro,1,2025-04-08,PAGO,Yuri
2025-11-23,Valentina Ramos,Placa de Vídeo GTX,2,3901.1,0%,Cartão,3,2026-01-22,NÃO PAGO,Henry
2025-02-20,Camila Vasconcelos,Roteador Wi-Fi,4,1029.64,10%,Dinheiro,1,2025-02-20,PAGO,Esther
2025-08-06,Marcos Vinicius da Mota,Switch de Rede,5,1681.52,20%,Dinheiro,1,2025-08-06,PAGO,Isis
2025-10-03,Léo Carvalho,Cabo HDMI,3,200.16,0%,Pix,1,2025-10-03,PAGO,Paulo
2025-03-25,Luigi Martins,Processador Intel i5,5,7419.6,0%,Boleto,4,2025-07-23,PENDENTE,Sophie
2025-08-29,João Lucas Dias,Computador Desktop,4,11694.3,20%,Dinheiro,1,2025-08-29,PAGO,Guilherme
2025-04-26,Samuel Sales,Fonte 500W,5,1248.65,0%,Pix,1,2025-04-26,PAGO,João
2025-01-09,Arthur Miguel Lima,Gabinete,1,570.31,0%,Dinheiro,1,2025-01-09,PAGO,Alícia
2025-05-28,Ravy Cavalcante,SSD 1TB,2,969.32,0%,Boleto,6,2025-11-24,NÃO PAGO,Theodoro
2025-02-07,Luiz Henrique da Rocha,Teclado,5,1143.3,0%,Pix,1,2025-02-07,PAGO,Mariana
2025-03-07,Ana Laura Melo,"Monitor 24""",2,1665.92,10%,Boleto,5,2025-08-04,PENDENTE,Eduardo
2025-08-19,Ravi Lucca Ramos,Placa-Mãe,1,656.1,5%,Pix,1,2025-08-19,PAGO,Isabel
2025-07-10,Vinicius Nunes,Teclado,5,1441.6,0%,Cartão,8,2026-02-05,PENDENTE,Renan
2025-07-16,Eloá Jesus,Notebook,5,24411.25,0%,Pix,1,2025-07-16,PAGO,Pietra
2025-05-25,Ester Gomes,Pendrive 64GB,5,351.4,10%,Cartão,4,2025-09-22,NÃO PAGO,Benício
2025-03-06,Allana Casa Grande,Mesa para Computador,5,3858.19,5%,Pix,1,2025-03-06,PAGO,Dante
2025-08-05,Maria Luiza Costela,Cabo HDMI,4,132.91,10%,Cartão,7,2026-02-01,PENDENTE,João Guilherme
2025-02-14,Gael Camargo,Headset,1,396.4,0%,Boleto,10,2025-12-11,PENDENTE,Antonella
2025-01-22,Maria Vitória da Rosa,Memória RAM 8GB,2,328.71,15%,Boleto,9,2025-10-19,NÃO PAGO,Luiz Otávio
2025-12-13,Julia Gomes,"Monitor 27""",1,1625.31,0%,Cartão,2,2026-01-12,NÃO PAGO,Maria Cecília
2025-09-23,Ian Albuquerque,SSD 256GB,2,365.94,0%,Dinheiro,1,2025-09-23,PAGO,Noah
2025-08-08,Thiago Caldeira,Teclado,5,932.65,0%,Cartão,4,2025-12-06,PAGO,João Guilherme
2025-11-30,Heitor Farias,Memória RAM 16GB,1,375.67,20%,Pix,1,2025-11-30,PAGO,Vinicius
2025-10-10,Ana Cecília Andrade,Placa de Vídeo RTX,5,13999.1,0%,Dinheiro,1,2025-10-10,PAGO,Liz
2025-07-27,Pietro Campos,Cadeira Gamer,3,2508.77,15%,Pix,1,2025-07-27,PAGO,Alexia
2025-11-05,Oliver Cassiano,SSD 512GB,1,504.02,0%,Cartão,5,2026-02-03,PENDENTE,Ana Vitória
2025-05-26,Ana Luiza Porto,Pendrive 32GB,4,111.0,0%,Dinheiro,1,2025-05-26,PAGO,José Pedro
2025-10-20,Luiza Moreira,Headset,4,698.14,5%,Cartão,2,2025-12-19,NÃO PAGO,Emanuel
2025-07-31,Ísis Cirino,Processador Intel i7,2,4104.61,10%,Pix,1,2025-07-31,PAGO,Pedro
2025-07-30,Gabriel Duarte,Pendrive 64GB,3,234.9,10%,Dinheiro,1,2025-07-30,PAGO,Benício
2025-08-24,Ana Clara Lima,Processador Intel i5,1,1005.39,10%,Cartão,6,2026-01-21,PENDENTE,Maria Luísa
2025-02-23,Nina Silveira,Processador Intel i7,5,11994.4,0%,Cartão,6,2025-08-22,PAGO,Isabel
2025-03-27,Marcos Vinicius Duarte,Impressora,3,4131.78,0%,Boleto,6,2025-09-23,PAGO,Eduarda
2025-02-16,Yuri Sá,Cabo de Rede,4,115.13,10%,Boleto,7,2025-09-14,NÃO PAGO,Ana Liz
2025-02-02,Augusto Jesus,Headset,1,160.08,10%,Cartão,10,2025-11-29,PENDENTE,Olívia
2025-12-09,Lívia Freitas,HD Externo 1TB,5,2043.9,0%,Dinheiro,1,2025-12-09,PAGO,Luan
2026-01-07,Davi Luiz Carvalho,Placa de Vídeo RTX,3,12604.44,0%,Cartão,8,2026-02-06,PAGO,Rhavi
2025-08-23,Ayla Porto,"Monitor 24""",5,5997.9,0%,Cartão,8,2026-01-20,NÃO PAGO,Lorenzo
2025-11-26,Ana Julia Aparecida,SSD 256GB,2,513.06,15%,Dinheiro,1,2025-11-26,PAGO,Marcela
2025-05-04,Lucca Barbosa,Teclado,2,410.8,10%,Boleto,2,2025-07-03,PAGO,Mathias
2025-12-31,Diogo Lima,Cadeira Gamer,1,872.13,10%,Pix,1,2025-12-31,PAGO,Vitor Gabriel
2025-11-20,Luigi Peixoto,Gabinete,2,407.72,0%,Boleto,12,2026-01-19,PENDENTE,Nicolas
2025-01-04,Luiza Fernandes,Impressora,2,1973.58,0%,Cartão,11,2025-11-30,PENDENTE,Arthur Miguel
2025-11-19,Luara Pinto,Processador AMD Ryzen 7,3,3673.02,15%,Dinheiro,1,2025-11-19,PAGO,Nathan
2025-04-18,Luísa Cavalcante,Processador AMD Ryzen 5,3,2205.19,15%,Cartão,2,2025-06-17,NÃO PAGO,Eduarda
